iter	Passed	Remaining
0	0	761
1	1	775
2	2	721
3	2	703
4	3	681
5	4	674
6	4	667
7	5	669
8	5	658
9	6	648
10	7	646
11	7	640
12	8	634
13	9	636
14	9	633
15	10	628
16	10	623
17	11	625
18	12	625
19	12	624
20	13	623
21	14	624
22	14	622
23	15	618
24	15	616
25	16	612
26	16	610
27	17	611
28	18	611
29	18	611
30	19	613
31	20	609
32	20	608
33	21	609
34	22	610
35	22	609
36	23	609
37	24	608
38	24	606
39	25	604
40	25	604
41	26	603
42	27	601
43	27	599
44	28	597
45	28	596
46	29	594
47	29	593
48	30	592
49	31	591
50	31	590
51	32	589
52	32	587
53	33	585
54	33	583
55	34	584
56	35	584
57	35	584
58	36	582
59	37	580
60	37	578
61	38	577
62	38	578
63	39	578
64	40	577
65	40	575
66	41	574
67	41	570
68	42	570
69	42	570
70	43	569
71	44	568
72	44	567
73	45	566
74	45	565
75	46	564
76	47	565
77	47	565
78	48	564
79	48	562
80	49	561
81	50	561
82	50	559
83	51	558
84	51	556
85	52	555
86	52	552
87	53	552
88	53	551
89	54	550
90	55	549
91	55	549
92	56	548
93	56	548
94	57	548
95	58	548
96	58	547
97	59	547
98	60	546
99	60	545
100	61	544
101	61	541
102	62	541
103	62	540
104	63	539
105	63	538
106	64	537
107	64	536
108	65	535
109	66	534
110	66	533
111	67	532
112	67	531
113	68	531
114	68	530
115	69	529
116	70	529
117	70	528
118	71	526
119	71	525
120	72	525
121	72	525
122	73	522
123	73	521
124	74	521
125	75	520
126	75	520
127	76	518
128	76	517
129	77	517
130	77	517
131	78	516
132	79	515
133	79	514
134	80	513
135	80	513
136	81	513
137	81	512
138	82	511
139	83	511
140	83	510
141	84	510
142	85	510
143	85	509
144	86	508
145	86	507
146	87	507
147	88	506
148	88	506
149	89	505
150	89	505
151	90	504
152	91	503
153	91	503
154	92	503
155	92	502
156	93	501
157	94	501
158	94	500
159	95	500
160	95	499
161	96	500
162	97	500
163	98	500
164	98	499
165	99	498
166	99	498
167	100	497
168	100	496
169	101	495
170	102	495
171	102	494
172	103	493
173	103	492
174	104	492
175	105	491
176	105	491
177	106	490
178	106	489
179	107	489
180	107	487
181	108	487
182	109	487
183	109	487
184	110	486
185	111	486
186	111	485
187	112	485
188	113	485
189	113	484
190	114	483
191	114	483
192	115	482
193	115	481
194	116	481
195	117	481
196	117	480
197	118	480
198	119	479
199	119	478
200	120	478
201	120	477
202	121	477
203	122	476
204	122	475
205	123	475
206	123	474
207	124	474
208	125	473
209	125	472
210	126	472
211	126	471
212	127	471
213	128	470
214	128	470
215	129	469
216	129	468
217	130	468
218	131	467
219	131	467
220	132	466
221	132	465
222	133	465
223	134	464
224	134	464
225	135	464
226	136	464
227	136	463
228	137	462
229	138	462
230	138	462
231	139	462
232	140	462
233	141	461
234	141	460
235	142	460
236	142	459
237	143	459
238	143	458
239	144	457
240	145	456
241	145	456
242	146	455
243	146	455
244	147	454
245	148	454
246	148	454
247	149	453
248	150	452
249	150	452
250	151	451
251	151	450
252	152	450
253	153	449
254	153	448
255	154	447
256	154	447
257	155	446
258	155	445
259	156	445
260	157	444
261	157	444
262	158	444
263	159	443
264	159	442
265	160	442
266	160	441
267	161	441
268	162	440
269	162	440
270	163	439
271	163	438
272	164	438
273	165	437
274	165	436
275	166	436
276	166	435
277	167	435
278	168	434
279	168	433
280	169	433
281	169	432
282	170	431
283	171	431
284	171	430
285	172	430
286	173	430
287	173	429
288	174	429
289	175	428
290	175	428
291	176	427
292	176	426
293	177	426
294	178	425
295	178	425
296	179	424
297	180	424
298	180	423
299	181	422
300	181	422
301	182	421
302	183	421
303	183	420
304	184	419
305	184	419
306	185	418
307	186	418
308	186	417
309	187	416
310	187	416
311	188	415
312	189	414
313	189	414
314	190	413
315	190	412
316	191	412
317	191	411
318	192	410
319	192	410
320	193	409
321	194	408
322	194	407
323	195	407
324	195	407
325	196	406
326	197	405
327	197	405
328	198	404
329	198	403
330	199	403
331	200	402
332	200	402
333	201	401
334	202	401
335	202	400
336	203	399
337	203	399
338	204	398
339	205	398
340	205	397
341	206	396
342	206	396
343	207	395
344	207	394
345	208	394
346	209	393
347	209	393
348	210	392
349	210	391
350	211	390
351	212	390
352	212	389
353	213	389
354	213	388
355	214	388
356	215	387
357	215	387
358	216	386
359	217	385
360	217	385
361	218	384
362	218	383
363	219	383
364	220	382
365	220	382
366	221	381
367	222	381
368	222	380
369	223	380
370	224	380
371	224	379
372	225	378
373	226	378
374	226	377
375	227	377
376	228	376
377	228	376
378	229	375
379	229	375
380	230	374
381	231	374
382	231	373
383	232	373
384	233	372
385	233	372
386	234	371
387	235	371
388	235	370
389	236	370
390	237	369
391	238	369
392	238	368
393	239	368
394	240	368
395	240	367
396	241	367
397	242	366
398	242	365
399	243	365
400	244	364
401	244	364
402	245	363
403	246	363
404	246	362
405	247	362
406	248	361
407	248	360
408	249	360
409	249	359
410	250	358
411	251	358
412	251	358
413	252	357
414	253	356
415	253	356
416	254	355
417	255	355
418	255	354
419	256	354
420	257	353
421	257	353
422	258	352
423	258	351
424	259	351
425	260	350
426	260	350
427	261	349
428	262	348
429	262	348
430	263	347
431	263	346
432	264	346
433	265	345
434	265	345
435	266	344
436	266	343
437	267	343
438	268	342
439	268	342
440	269	341
441	270	341
442	270	340
443	271	339
444	271	339
445	272	338
446	273	337
447	273	337
448	274	336
449	274	335
450	275	335
451	275	334
452	276	334
453	277	333
454	277	332
455	278	332
456	279	331
457	279	330
458	280	330
459	281	329
460	281	329
461	282	328
462	283	328
463	283	327
464	284	327
465	284	326
466	285	325
467	286	325
468	286	324
469	287	323
470	287	323
471	288	322
472	288	321
473	289	321
474	290	320
475	290	320
476	291	319
477	291	318
478	292	318
479	293	317
480	293	317
481	294	316
482	295	316
